table_ref, table_name, universe
PCT0090, PCT9. NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE WITH ONE OR MORE NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER CATEGORIES FOR SELECTED GROUPS, Universe: Total Native Hawaiian and Other Pacific Islander categories tallied for people with one or more Native Hawaiian and Other Pacific Islander category only and people with no specific Native Hawaiian and Other Pacific Islander category reported
PCT0100, PCT10. NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE RACES AND WITH ONE OR MORE NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER CATEGORIES FOR SELECTED GROUPS, Universe: Total Native Hawaiian and Other Pacific Islander categories tallied and people with no specific Native Hawaiian and Other Pacific Islander category reported
PCT0110, PCT11. HISPANIC OR LATINO BY SPECIFIC ORIGIN, Universe: Total population
PCT0120, PCT12. SEX BY AGE, Universe: Total population
PCT0130, PCT13. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS, Universe: Population in households
PCT0140, PCT14. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS, Universe: Households
PCT0150, PCT15. HUSBAND-WIFE AND UNMARRIED-PARTNER HOUSEHOLDS BY SEX OF PARTNER BY PRESENCE OF RELATED AND OWN CHILDREN UNDER 18 YEARS, Universe: Households
PCT0160, PCT16. HOUSEHOLD TYPE BY NUMBER OF PEOPLE UNDER 18 YEARS (EXCLUDING HOUSEHOLDERS; SPOUSES; AND UNMARRIED PARTNERS), Universe: Households
PCT0170, PCT17. PRESENCE OF UNMARRIED PARTNER OF HOUSEHOLDER BY HOUSEHOLD TYPE FOR THE POPULATION UNDER 18 YEARS IN HOUSEHOLDS (EXCLUDING HOUSEHOLDERS; SPOUSES; AND UNMARRIED PARTNERS), Universe: Population under 18 years in households (excluding householders; spouses; and unmarried partners)
PCT0180, PCT18. NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER, Universe: Nonfamily households
PCT0190, PCT19. NONRELATIVES BY HOUSEHOLD TYPE, Universe: Nonrelatives
PCT0200, PCT20. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE, Universe: Population in group quarters
PCT0210, PCT21. GROUP QUARTERS POPULATION BY SEX BY AGE BY GROUP QUARTERS TYPE, Universe: Population in group quarters
PCT0220, PCT22. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER, Universe: Population 18 years and over in group quarters
PCT012A, PCT12A. SEX BY AGE (WHITE ALONE), Universe: People who are White alone
PCT012B, PCT12B. SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE), Universe: People who are Black or African American alone
PCT012C, PCT12C. SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: People who are American Indian and Alaska Native alone
PCT012D, PCT12D. SEX BY AGE (ASIAN ALONE), Universe: People who are Asian alone
PCT012E, PCT12E. SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: People who are Native Hawaiian and Other Pacific Islander alone
PCT012F, PCT12F. SEX BY AGE (SOME OTHER RACE ALONE), Universe: People who are Some Other Race alone
PCT012G, PCT12G. SEX BY AGE (TWO OR MORE RACES), Universe: People who are Two or More Races
PCT012H, PCT12H. SEX BY AGE (HISPANIC OR LATINO), Universe: People who are Hispanic or Latino
PCT012I, PCT12I. SEX BY AGE (WHITE ALONE NOT HISPANIC OR LATINO), Universe: People who are White alone not Hispanic or Latino
PCT012J, PCT12J. SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE NOT HISPANIC OR LATINO), Universe: People who are Black or African American alone not Hispanic or Latino
PCT012K, PCT12K. SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE NOT HISPANIC OR LATINO), Universe: People who are American Indian and Alaska Native alone not Hispanic or Latino
PCT012L, PCT12L. SEX BY AGE (ASIAN ALONE NOT HISPANIC OR LATINO), Universe: People who are Asian alone not Hispanic or Latino
PCT012M, PCT12M. SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE NOT HISPANIC OR LATINO), Universe: People who are Native Hawaiian and Other Pacific Islander alone not Hispanic or Latino
PCT012N, PCT12N. SEX BY AGE (SOME OTHER RACE ALONE NOT HISPANIC OR LATINO), Universe: People who are Some Other Race alone not Hispanic or Latino
PCT012O, PCT12O. SEX BY AGE (TWO OR MORE RACES NOT HISPANIC OR LATINO), Universe: People who are Two or More Races not Hispanic or Latino
PCT013A, PCT13A. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS (WHITE ALONE), Universe: Population in households who are White alone
PCT013B, PCT13B. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE), Universe: Population in households who are Black or African American alone
PCT013C, PCT13C. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: Population in households who are American Indian and Alaska Native alone
PCT013D, PCT13D. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS (ASIAN ALONE), Universe: Population in households who are Asian alone
PCT013E, PCT13E. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: Population in households who are Native Hawaiian and Other Pacific Islander alone
PCT013F, PCT13F. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE), Universe: Population in households who are Some Other Race alone
PCT013G, PCT13G. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS (TWO OR MORE RACES), Universe: Population in households who are Two or More Races
PCT013H, PCT13H. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO), Universe: Population in households who are Hispanic or Latino
PCT013I, PCT13I. SEX BY AGE FOR THE POPULATION IN HOUSEHOLDS (WHITE ALONE NOT HISPANIC OR LATINO), Universe: Population in households who are White alone not Hispanic or Latino
PCT014A, PCT14A. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS (WHITE ALONE HOUSEHOLDER), Universe: Households with a householder who is White alone
PCT014B, PCT14B. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Households with a householder who is Black or African American alone
PCT014C, PCT14C. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Households with a householder who is American Indian and Alaska Native alone
PCT014D, PCT14D. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS (ASIAN ALONE HOUSEHOLDER), Universe: Households with a householder who is Asian alone
PCT014E, PCT14E. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Households with a householder who is Native Hawaiian and Other Pacific Islander alone
PCT014F, PCT14F. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Households with a householder who is Some Other Race alone
PCT014G, PCT14G. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS (TWO OR MORE RACES HOUSEHOLDER), Universe: Households with a householder who is Two or More Races
PCT014H, PCT14H. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS (HISPANIC OR LATINO HOUSEHOLDER), Universe: Households with a householder who is Hispanic or Latino
PCT014I, PCT14I. PRESENCE OF MULTIGENERATIONAL HOUSEHOLDS (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Households with a householder who is White alone not Hispanic or Latino
PCT019A, PCT19A. NONRELATIVES BY HOUSEHOLD TYPE (WHITE ALONE), Universe: Nonrelatives who are White alone
PCT019B, PCT19B. NONRELATIVES BY HOUSEHOLD TYPE (BLACK OR AFRICAN AMERICAN ALONE), Universe: Nonrelatives who are Black or African American alone
PCT019C, PCT19C. NONRELATIVES BY HOUSEHOLD TYPE (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: Nonrelatives who are American Indian and Alaska Native alone
PCT019D, PCT19D. NONRELATIVES BY HOUSEHOLD TYPE (ASIAN ALONE), Universe: Nonrelatives who are Asian alone
PCT019E, PCT19E. NONRELATIVES BY HOUSEHOLD TYPE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: Nonrelatives who are Native Hawaiian and Other Pacific Islander alone
PCT019F, PCT19F. NONRELATIVES BY HOUSEHOLD TYPE (SOME OTHER RACE ALONE), Universe: Nonrelatives who are Some Other Race alone
PCT019G, PCT19G. NONRELATIVES BY HOUSEHOLD TYPE (TWO OR MORE RACES), Universe: Nonrelatives who are Two or More Races
PCT019H, PCT19H. NONRELATIVES BY HOUSEHOLD TYPE (HISPANIC OR LATINO), Universe: Nonrelatives who are Hispanic or Latino
PCT019I, PCT19I. NONRELATIVES BY HOUSEHOLD TYPE (WHITE ALONE NOT HISPANIC OR LATINO), Universe: Nonrelatives who are White alone not Hispanic or Latino
PCT020A, PCT20A. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (WHITE ALONE), Universe: Population in group quarters who are White alone
PCT020B, PCT20B. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (BLACK OR AFRICAN AMERICAN ALONE), Universe: Population in group quarters who are Black or African American alone
PCT020C, PCT20C. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: Population in group quarters who are American Indian and Alaska Native alone
PCT020D, PCT20D. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (ASIAN ALONE), Universe: Population in group quarters who are Asian alone
PCT020E, PCT20E. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: Population in group quarters who are Native Hawaiian and Other Pacific Islander alone
PCT020F, PCT20F. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (SOME OTHER RACE ALONE), Universe: Population in group quarters who are Some Other Race alone
PCT020G, PCT20G. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (TWO OR MORE RACES), Universe: Population in group quarters who are Two or More Races
PCT020H, PCT20H. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (HISPANIC OR LATINO), Universe: Population in group quarters who are Hispanic or Latino
PCT020I, PCT20I. GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (WHITE ALONE NOT HISPANIC OR LATINO), Universe: Population in group quarters who are White alone not Hispanic or Latino
PCT022A, PCT22A. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER (WHITE ALONE), Universe: Population 18 years and over in group quarters who are White alone
PCT022B, PCT22B. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE), Universe: Population 18 years and over in group quarters who are Black or African American alone
PCT022C, PCT22C. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE), Universe: Population 18 years and over in group quarters who are American Indian and Alaska Native alone
PCT022D, PCT22D. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER (ASIAN ALONE), Universe: Population 18 years and over in group quarters who are Asian alone
PCT022E, PCT22E. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE), Universe: Population 18 years and over in group quarters who are Native Hawaiian and Other Pacific Islander alone
PCT022F, PCT22F. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER (SOME OTHER RACE ALONE), Universe: Population 18 years and over in group quarters who are Some Other Race alone
PCT022G, PCT22G. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER (TWO OR MORE RACES), Universe: Population 18 years and over in group quarters who are Two or More Races
PCT022H, PCT22H. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER (HISPANIC OR LATINO), Universe: Population 18 years and over in group quarters who are Hispanic or Latino
PCT022I, PCT22I. GROUP QUARTERS POPULATION BY SEX BY GROUP QUARTERS TYPE FOR THE POPULATION 18 YEARS AND OVER (WHITE ALONE NOT HISPANIC OR  LATINO), Universe: Population 18 years and over in group quarters who are White alone not Hispanic or Latino
PCO0010, PCO1. GROUP QUARTERS POPULATION BY SEX BY AGE, Universe: Population in group quarters
PCO0020, PCO2. GROUP QUARTERS POPULATION IN INSTITUTIONAL FACILITIES BY SEX BY AGE, Universe: Institutionalized population
PCO0030, PCO3. GROUP QUARTERS POPULATION IN CORRECTIONAL FACILITIES FOR ADULTS BY SEX BY AGE, Universe: Population in correctional facilities for adults
PCO0040, PCO4. GROUP QUARTERS POPULATION IN JUVENILE FACILITIES BY SEX BY AGE, Universe: Population in juvenile facilities
PCO0050, PCO5. GROUP QUARTERS POPULATION IN NURSING FACILITIES/SKILLED-NURSING FACILITIES BY SEX BY AGE, Universe: Population in nursing facilities/skilled-nursing facilities
PCO0060, PCO6. GROUP QUARTERS POPULATION IN OTHER INSTITUTIONAL FACILITIES BY SEX BY AGE, Universe: Population in other institutional facilities
PCO0070, PCO7. GROUP QUARTERS POPULATION IN NONINSTITUTIONAL FACILITIES BY SEX BY AGE, Universe: Noninstitutionalized population
PCO0080, PCO8. GROUP QUARTERS POPULATION IN COLLEGE/UNIVERSITY STUDENT HOUSING BY SEX BY AGE, Universe: Population in college/university student housing
PCO0090, PCO9. GROUP QUARTERS POPULATION IN MILITARY QUARTERS BY SEX BY AGE, Universe: Population in military quarters
PCO0100, PCO10. GROUP QUARTERS POPULATION IN OTHER NONINSTITUTIONAL FACILITIES BY SEX BY AGE, Universe: Population in other noninstitutional facilitie
H0010, H1. HOUSING UNITS, Universe: Housing units
H0020, H2. URBAN AND RURAL (Urban/Rural Update only), Universe: Housing units
H0030, H3. OCCUPANCY STATUS, Universe: Housing units
H0040, H4. TENURE, Universe: Occupied housing units
H0050, H5. VACANCY STATUS, Universe: Vacant housing units
H0060, H6. RACE OF HOUSEHOLDER, Universe: Occupied housing units
H0070, H7. HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER, Universe: Occupied housing units
H0080, H8. TOTAL RACES TALLIED FOR HOUSEHOLDERS, Universe: Total races tallied for householders in occupied housing units
H0090, H9. HISPANIC OR LATINO ORIGIN OF HOUSEHOLDERS BY TOTAL RACES TALLIED, Universe: Total races tallied for householders in occupied housing units
H0100, H10. TOTAL POPULATION IN OCCUPIED HOUSING UNITS, Universe: Population in occupied housing units
H0110, H11. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE, Universe: Population in occupied housing units
H0120, H12. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE, Universe: Occupied housing units Average household size
H0130, H13. HOUSEHOLD SIZE, Universe: Occupied housing units
H0140, H14. TENURE BY RACE OF HOUSEHOLDER, Universe: Occupied housing units
H0150, H15. TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER, Universe: Occupied housing units
H0160, H16. TENURE BY HOUSEHOLD SIZE, Universe: Occupied housing units
H0170, H17. TENURE BY AGE OF HOUSEHOLDER, Universe: Occupied housing units
H0180, H18. TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER, Universe: Occupied housing units
H0190, H19. TENURE BY PRESENCE OF PEOPLE UNDER 18 YEARS (EXCLUDING HOUSEHOLDERS SPOUSES AND UNMARRIED PARTNERS), Universe: Occupied housing units
H0200, H20. OCCUPIED HOUSING UNITS SUBSTITUTED, Universe: Occupied housing units
H0210, H21. ALLOCATION OF VACANCY STATUS, Universe: Vacant housing units
H0220, H22. ALLOCATION OF TENURE, Universe: Occupied housing units not substituted
H011A0, H11A. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE (WHITE ALONE HOUSEHOLDER), Universe: Population in occupied housing units with a householder who is White alone
H011B0, H11B. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Population in occupied housing units with a householder who is Black or African American alone
H011C0, H11C. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Population in occupied housing units with a householder who is American Indian and Alaska Native alone
H011D0, H11D. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE (ASIAN ALONE HOUSEHOLDER), Universe: Population in occupied housing units with a householder who is Asian alone
H011E0, H11E. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Population in occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone
H011F0, H11F. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Population in occupied housing units with a householder who is Some Other Race alone
H011G0, H11G. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE (TWO OR MORE RACES HOUSEHOLDER), Universe: Population in occupied housing units with a householder who is Two or More Races
H011H0, H11H. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE (HISPANIC OR LATINO HOUSEHOLDER), Universe: Population in occupied housing units with a householder who is Hispanic or Latino
H011I0, H11I. TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Population in occupied housing units with a householder who is White alone not Hispanic or Latino
H012A0, H12A. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE (WHITE ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is White alone Average household size
H012B0, H12B. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Black or African American alone Average household size
H012C0, H12C. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is American Indian and Alaska Native alone Average household size
H012D0, H12D. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE (ASIAN ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Asian alone Average household size
H012E0, H12E. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone Average household size
H012F0, H12F. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Some Other Race alone Average household size
H012G0, H12G. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE (TWO OR MORE RACES HOUSEHOLDER), Universe: Occupied housing units with a householder who is Two or More Races Average household size
H012H0, H12H. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE (HISPANIC OR LATINO HOUSEHOLDER), Universe: Occupied housing units with a householder who is Hispanic or Latino Average household size
H012I0, H12I. AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Occupied housing units with a householder who is White alone not Hispanic or Latino Average household size
H016A0, H16A. TENURE BY HOUSEHOLD SIZE (WHITE ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is White alone
H016B0, H16B. TENURE BY HOUSEHOLD SIZE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Black or African American alone
H016C0, H16C. TENURE BY HOUSEHOLD SIZE (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is American Indian and Alaska Native alone
H016D0, H16D. TENURE BY HOUSEHOLD SIZE (ASIAN ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Asian alone
H016E0, H16E. TENURE BY HOUSEHOLD SIZE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone
H016F0, H16F. TENURE BY HOUSEHOLD SIZE (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Some Other Race alone
H016G0, H16G. TENURE BY HOUSEHOLD SIZE (TWO OR MORE RACES HOUSEHOLDER), Universe: Occupied housing units with a householder who is Two or More Races
H016H0, H16H. TENURE BY HOUSEHOLD SIZE (HISPANIC OR LATINO HOUSEHOLDER), Universe: Occupied housing units with a householder who is Hispanic or Latino
H016I0, H16I. TENURE BY HOUSEHOLD SIZE (WHITE ALONE NOT HISPANIC OR LATINO HOUSEHOLDER), Universe: Occupied housing units with a householder who is White alone not Hispanic or Latino
H017A0, H17A. TENURE BY AGE OF HOUSEHOLDER (WHITE ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is White alone
H017B0, H17B. TENURE BY AGE OF HOUSEHOLDER (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Black or African American alone
H017C0, H17C. TENURE BY AGE OF HOUSEHOLDER (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is American Indian and Alaska Native alone
H017D0, H17D. TENURE BY AGE OF HOUSEHOLDER (ASIAN ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Asian alone
H017E0, H17E. TENURE BY AGE OF HOUSEHOLDER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone
H017F0, H17F. TENURE BY AGE OF HOUSEHOLDER (SOME OTHER RACE ALONE HOUSEHOLDER), Universe: Occupied housing units with a householder who is Some Other Race alone
H017G0, H17G. TENURE BY AGE OF HOUSEHOLDER (TWO OR MORE RACES HOUSEHOLDER), Universe: Occupied housing units with a householder who is Two or More Races
H017H0, H17H. TENURE BY AGE OF HOUSEHOLDER (HISPANIC OR LATINO HOUSEHOLDER), Universe: Occupied housing units with a householder who is Hispanic or Latino
H017I0, H17I. TENURE BY AGE OF HOUSEHOLDER (WHITE ALONE HOUSEHOLDER NOT HISPANIC OR LATINO), Universe: Occupied housing units with a householder who is White alone not Hispanic or Latino
HCT0010, HCT1. TENURE BY HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER BY RACE OF HOUSEHOLDER, Universe: Occupied housing units
HCT0020, HCT2. TENURE BY PRESENCE AND AGE OF OWN CHILDREN, Universe: Occupied housing units
HCT0030, HCT3. TENURE BY PRESENCE AND AGE OF RELATED CHILDREN, Universe: Occupied housing units
HCT0040, HCT4. TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE (EXCLUDING HOUSEHOLDERS SPOUSES AND UNMARRIED PARTNERS), Universe: Occupied housing units
PCT0230, PCT23. RACE, Universe: Total population
PCT0240, PCT24. HOUSEHOLD TYPE BY RELATIONSHIP FOR THE POPULATION 65 YEARS AND OVER, Universe: Population 65 years and over



